,disco_35_0,disco_35_1,disco_35_2,ssim_35_0,ssim_35_1,ssim_35_2,pearson_35_0,pearson_35_1,pearson_35_2,psnr_35_0,psnr_35_1,psnr_35_2,hicrep_34_0,hicrep_34_1,hicrep_34_2
173,0.89606,0.88491,0.87807,0.94069,0.90793,0.88724,0.96377,0.93529,0.9338,33.53849,34.89479,33.45372,0.82348,0.74936,0.68519
174,0.89588,0.88805,0.88007,0.94068,0.9092,0.88777,0.96356,0.936,0.93411,33.50286,34.94682,33.46836,0.82562,0.7562,0.68229
175,0.896,0.88642,0.87958,0.94067,0.90737,0.88729,0.96361,0.93542,0.93407,33.52181,34.88713,33.45397,0.82399,0.74774,0.68372
176,0.89649,0.88616,0.87784,0.94117,0.90994,0.88754,0.96395,0.93645,0.93422,33.55788,35.0068,33.46413,0.8254,0.75711,0.68358
177,0.89682,0.88847,0.8817,0.94077,0.90898,0.88563,0.96392,0.93594,0.93363,33.52085,34.95157,33.37121,0.82494,0.75446,0.68679
178,0.89606,0.88813,0.88136,0.94056,0.9091,0.88565,0.96368,0.93588,0.9335,33.49653,34.94948,33.35089,0.82478,0.7521,0.67752
179,0.89664,0.88707,0.87955,0.941,0.9086,0.88857,0.96385,0.93597,0.9344,33.54549,34.93365,33.52556,0.825,0.74664,0.68881
180,0.89629,0.88785,0.87961,0.94102,0.91001,0.88842,0.96378,0.93623,0.93398,33.53303,34.9966,33.52858,0.82619,0.75745,0.69087
181,0.89512,0.88699,0.87978,0.94045,0.90909,0.88715,0.96356,0.93601,0.93385,33.4936,34.95436,33.47222,0.82383,0.75369,0.6819
182,0.89572,0.88761,0.88116,0.94099,0.90929,0.88853,0.96395,0.93612,0.93469,33.52866,34.97337,33.50314,0.82405,0.75576,0.69138
183,0.89558,0.8875,0.88026,0.94103,0.90903,0.88941,0.96388,0.93618,0.93441,33.53548,34.93892,33.55633,0.82556,0.75467,0.69728
